sex,cohort,x,qx,lx,dx,Lx,Tx,ex
m,1853,47,0.013832,57350,793,56954,1321228,23.04
m,1853,48,0.014893,56557,842,56136,1264274,22.35
m,1853,49,0.014526,55715,809,55310,1208138,21.68
m,1853,50,0.015498,54906,851,54480,1152828,21
m,1853,51,0.017125,54055,926,53592,1098348,20.32
m,1853,52,0.016921,53129,899,52679,1044756,19.66
m,1853,53,0.018063,52230,943,51758,992076,18.99
m,1853,54,0.020506,51286,1052,50761,940318,18.33
m,1853,55,0.020656,50235,1038,49716,889558,17.71
m,1853,56,0.021616,49197,1063,48665,839842,17.07
m,1853,57,0.024463,48134,1177,47545,791176,16.44
m,1853,58,0.02564,46956,1204,46354,743631,15.84
m,1853,59,0.027395,45752,1253,45126,697277,15.24
m,1853,60,0.028472,44499,1267,43865,652151,14.66
m,1853,61,0.02958,43232,1279,42592,608286,14.07
m,1853,62,0.031077,41953,1304,41301,565694,13.48
m,1853,63,0.034342,40649,1396,39951,524392,12.9
m,1853,64,0.038216,39253,1500,38503,484441,12.34
m,1853,65,0.040797,37753,1540,36983,445938,11.81
m,1853,66,0.039259,36213,1422,35502,408955,11.29
m,1853,67,0.044368,34791,1544,34019,373453,10.73
m,1853,68,0.044922,33248,1494,32501,339433,10.21
m,1853,69,0.053127,31754,1687,30911,306932,9.67
m,1853,70,0.060051,30067,1806,29164,276021,9.18
m,1853,71,0.064073,28262,1811,27356,246857,8.73
m,1853,72,0.069317,26451,1833,25534,219501,8.3
m,1853,73,0.076586,24617,1885,23675,193967,7.88
m,1853,74,0.078895,22732,1793,21835,170292,7.49
m,1853,75,0.092156,20938,1930,19974,148457,7.09
m,1853,76,0.098405,19009,1871,18074,128483,6.76
m,1853,77,0.099494,17138,1705,16286,110410,6.44
m,1853,78,0.106559,15433,1645,14611,94124,6.1
m,1853,79,0.118462,13789,1633,12972,79513,5.77
m,1853,80,0.12478,12155,1517,11397,66541,5.47
m,1853,81,0.135669,10638,1443,9917,55144,5.18
m,1853,82,0.141509,9195,1301,8545,45228,4.92
m,1853,83,0.16095,7894,1271,7259,36683,4.65
m,1853,84,0.165197,6623,1094,6076,29424,4.44
m,1853,85,0.164654,5529,910,5074,23348,4.22
m,1853,86,0.182656,4619,844,4197,18274,3.96
m,1853,87,0.202027,3775,763,3394,14077,3.73
m,1853,88,0.208105,3013,627,2699,10683,3.55
m,1853,89,0.215097,2386,513,2129,7984,3.35
m,1853,90,0.250918,1872,470,1638,5855,3.13
m,1853,91,0.252374,1403,354,1226,4218,3.01
m,1853,92,0.266061,1049,279,909,2992,2.85
m,1853,93,0.280109,770,216,662,2083,2.71
m,1853,94,0.307974,554,171,469,1421,2.56
m,1853,95,0.319676,383,123,322,952,2.48
m,1853,96,0.32093,261,84,219,630,2.42
m,1853,97,0.333157,177,59,148,411,2.32
m,1853,98,0.341973,118,40,98,263,2.23
m,1853,99,0.347816,78,27,64,166,2.13
m,1853,100,0.372571,51,19,41,101,2
m,1853,101,0.377538,32,12,26,60,1.89
m,1853,102,0.419227,20,8,16,34,1.73
m,1853,103,0.446917,11,5,9,19,1.62
m,1853,104,0.474543,6,3,5,10,1.52
m,1853,105,0.49573,3,2,3,5,1.44
m,1853,106,0.510031,2,1,1,2,1.37
m,1853,107,0.537709,1,0,1,1,1.28
m,1853,108,0.563933,0,0,0,0,1.19
m,1853,109,0.6098,0,0,0,0,1.09
m,1853,110,0.654594,0,0,0,0,1.01
m,1853,111,0.655826,0,0,0,0,0.98
m,1853,112,0.69848,0,0,0,0,0.91
m,1853,113,0.726885,0,0,0,0,0.86
m,1853,114,0.743285,0,0,0,0,0.81
m,1853,115,0.835685,0,0,0,0,0.7
m,1853,116,0.83586,0,0,0,0,0.7
m,1853,117,0.830993,0,0,0,0,0.69
m,1853,118,0.877212,0,0,0,0,0.63
m,1853,119,0.926183,0,0,0,0,0.57
f,1853,0,0.119694,1e+05,11969,92047,4953760,49.54
f,1853,1,0.036172,88031,3184,86438,4861713,55.23
f,1853,2,0.017817,84846,1512,84090,4775275,56.28
f,1853,3,0.012922,83335,1077,82796,4691184,56.29
f,1853,4,0.01031,82258,848,81834,4608388,56.02
f,1853,5,0.007611,81410,620,81100,4526554,55.6
f,1853,6,0.005501,80790,444,80568,4445454,55.02
f,1853,7,0.003987,80346,320,80185,4364887,54.33
f,1853,8,0.003057,80025,245,79903,4284701,53.54
f,1853,9,0.002648,79781,211,79675,4204798,52.7
f,1853,10,0.002641,79569,210,79464,4125123,51.84
f,1853,11,0.002868,79359,228,79245,4045659,50.98
f,1853,12,0.003138,79132,248,79008,3966413,50.12
f,1853,13,0.003322,78883,262,78752,3887406,49.28
f,1853,14,0.003462,78621,272,78485,3808653,48.44
f,1853,15,0.003704,78349,290,78204,3730168,47.61
f,1853,16,0.004106,78059,321,77899,3651964,46.78
f,1853,17,0.004564,77738,355,77561,3574066,45.98
f,1853,18,0.005063,77384,392,77188,3496505,45.18
f,1853,19,0.005582,76992,430,76777,3419317,44.41
f,1853,20,0.006149,76562,471,76327,3342540,43.66
f,1853,21,0.0067,76091,510,75836,3266214,42.93
f,1853,22,0.007124,75581,538,75312,3190377,42.21
f,1853,23,0.007368,75043,553,74767,3115065,41.51
f,1853,24,0.007478,74490,557,74212,3040299,40.81
f,1853,25,0.007541,73933,558,73654,2966087,40.12
f,1853,26,0.007627,73375,560,73096,2892433,39.42
f,1853,27,0.007737,72816,563,72534,2819337,38.72
f,1853,28,0.007897,72252,571,71967,2746803,38.02
f,1853,29,0.008091,71682,580,71392,2674836,37.32
f,1853,30,0.008286,71102,589,70807,2603444,36.62
f,1853,31,0.008458,70513,596,70214,2532637,35.92
f,1853,32,0.008613,69916,602,69615,2462423,35.22
f,1853,33,0.008746,69314,606,69011,2392807,34.52
f,1853,34,0.008865,68708,609,68403,2323796,33.82
f,1853,35,0.008992,68099,612,67793,2255393,33.12
f,1853,36,0.009134,67486,616,67178,2187600,32.42
f,1853,37,0.009277,66870,620,66560,2120422,31.71
f,1853,38,0.009425,66250,624,65937,2053862,31
f,1853,39,0.009584,65625,629,65311,1987925,30.29
f,1853,40,0.009769,64996,635,64679,1922614,29.58
f,1853,41,0.00999,64361,643,64040,1857935,28.87
f,1853,42,0.010246,63718,653,63392,1793895,28.15
f,1853,43,0.010545,63066,665,62733,1730503,27.44
f,1853,44,0.010892,62401,680,62061,1667770,26.73
f,1853,45,0.011281,61721,696,61373,1605709,26.02
f,1853,46,0.01173,61025,716,60667,1544337,25.31
f,1853,47,0.012266,60309,740,59939,1483670,24.6
f,1853,48,0.01224,59569,729,59204,1423731,23.9
f,1853,49,0.012229,58840,720,58480,1364527,23.19
f,1853,50,0.013233,58120,769,57736,1306046,22.47
f,1853,51,0.014956,57351,858,56922,1248311,21.77
f,1853,52,0.014867,56494,840,56074,1191388,21.09
f,1853,53,0.015069,55654,839,55234,1135315,20.4
f,1853,54,0.016874,54815,925,54353,1080080,19.7
f,1853,55,0.016835,53890,907,53436,1025728,19.03
f,1853,56,0.017936,52983,950,52508,972291,18.35
f,1853,57,0.019868,52033,1034,51516,919784,17.68
f,1853,58,0.021158,50999,1079,50459,868268,17.03
f,1853,59,0.022306,49920,1114,49363,817809,16.38
f,1853,60,0.023129,48806,1129,48242,768446,15.74
f,1853,61,0.024629,47677,1174,47090,720204,15.11
f,1853,62,0.026773,46503,1245,45881,673113,14.47
f,1853,63,0.029269,45258,1325,44596,627233,13.86
f,1853,64,0.032342,43933,1421,43223,582637,13.26
f,1853,65,0.03501,42513,1488,41768,539414,12.69
f,1853,66,0.035831,41024,1470,40289,497645,12.13
f,1853,67,0.040692,39554,1610,38750,457356,11.56
f,1853,68,0.040821,37945,1549,37170,418607,11.03
f,1853,69,0.04707,36396,1713,35539,381436,10.48
f,1853,70,0.053542,34683,1857,33754,345897,9.97
f,1853,71,0.056113,32826,1842,31905,312143,9.51
f,1853,72,0.060502,30984,1875,30046,280238,9.04
f,1853,73,0.067747,29109,1972,28123,250191,8.59
f,1853,74,0.068768,27137,1866,26204,222068,8.18
f,1853,75,0.081163,25271,2051,24245,195864,7.75
f,1853,76,0.087031,23220,2021,22209,171619,7.39
f,1853,77,0.087641,21199,1858,20270,149409,7.05
f,1853,78,0.093401,19341,1806,18438,129139,6.68
f,1853,79,0.105175,17535,1844,16613,110701,6.31
f,1853,80,0.110559,15690,1735,14823,94089,6
f,1853,81,0.121023,13956,1689,13111,79266,5.68
f,1853,82,0.124317,12267,1525,11504,66154,5.39
f,1853,83,0.142499,10742,1531,9976,54650,5.09
f,1853,84,0.144207,9211,1328,8547,44674,4.85
f,1853,85,0.14611,7883,1152,7307,36127,4.58
f,1853,86,0.163192,6731,1098,6182,28820,4.28
f,1853,87,0.182842,5633,1030,5118,22638,4.02
f,1853,88,0.184702,4603,850,4178,17520,3.81
f,1853,89,0.196544,3753,738,3384,13343,3.56
f,1853,90,0.229851,3015,693,2669,9959,3.3
f,1853,91,0.237689,2322,552,2046,7290,3.14
f,1853,92,0.249996,1770,443,1549,5244,2.96
f,1853,93,0.273036,1328,362,1146,3695,2.78
f,1853,94,0.295943,965,286,822,2549,2.64
f,1853,95,0.308432,679,210,575,1727,2.54
f,1853,96,0.314724,470,148,396,1152,2.45
f,1853,97,0.325222,322,105,270,756,2.35
f,1853,98,0.338702,217,74,180,486,2.24
f,1853,99,0.347816,144,50,119,306,2.13
f,1853,100,0.372571,94,35,76,187,2
f,1853,101,0.377538,59,22,48,111,1.89
f,1853,102,0.419227,37,15,29,63,1.73
f,1853,103,0.446917,21,10,17,34,1.62
f,1853,104,0.474543,12,6,9,18,1.52
f,1853,105,0.49573,6,3,5,9,1.44
f,1853,106,0.510031,3,2,2,4,1.37
f,1853,107,0.537709,2,1,1,2,1.28
f,1853,108,0.563933,1,0,1,1,1.19
f,1853,109,0.6098,0,0,0,0,1.09
f,1853,110,0.654594,0,0,0,0,1.01
f,1853,111,0.655826,0,0,0,0,0.98
f,1853,112,0.69848,0,0,0,0,0.91
f,1853,113,0.726885,0,0,0,0,0.86
f,1853,114,0.743285,0,0,0,0,0.81
f,1853,115,0.835685,0,0,0,0,0.7
f,1853,116,0.83586,0,0,0,0,0.7
f,1853,117,0.830993,0,0,0,0,0.69
f,1853,118,0.877212,0,0,0,0,0.63
f,1853,119,0.926183,0,0,0,0,0.57
m,1854,0,0.145957,1e+05,14596,90026,4669453,46.69
m,1854,1,0.03814,85404,3257,83776,4579426,53.62
m,1854,2,0.019577,82147,1608,81343,4495651,54.73
m,1854,3,0.013529,80539,1090,79994,4414308,54.81
m,1854,4,0.010797,79449,858,79020,4334314,54.55
m,1854,5,0.00794,78591,624,78279,4255294,54.14
m,1854,6,0.005699,77967,444,77745,4177014,53.57
m,1854,7,0.004073,77523,316,77365,4099269,52.88
m,1854,8,0.003047,77207,235,77090,4021904,52.09
m,1854,9,0.002555,76972,197,76874,3944814,51.25
m,1854,10,0.002483,76775,191,76680,3867941,50.38
m,1854,11,0.00267,76585,204,76482,3791261,49.5
m,1854,12,0.002935,76380,224,76268,3714778,48.64
m,1854,13,0.003153,76156,240,76036,3638510,47.78
m,1854,14,0.003355,75916,255,75789,3562474,46.93
m,1854,15,0.003673,75661,278,75522,3486686,46.08
m,1854,16,0.004149,75383,313,75227,3411163,45.25
m,1854,17,0.004676,75071,351,74895,3335936,44.44
m,1854,18,0.005233,74720,391,74524,3261041,43.64
m,1854,19,0.005797,74329,431,74113,3186517,42.87
m,1854,20,0.006421,73898,475,73660,3112404,42.12
m,1854,21,0.007024,73423,516,73165,3038744,41.39
m,1854,22,0.007445,72907,543,72636,2965578,40.68
m,1854,23,0.007616,72365,551,72089,2892942,39.98
m,1854,24,0.007606,71813,546,71540,2820853,39.28
m,1854,25,0.007526,71267,536,70999,2749313,38.58
m,1854,26,0.007496,70731,530,70466,2678314,37.87
m,1854,27,0.007554,70201,530,69936,2607848,37.15
m,1854,28,0.007754,69670,540,69400,2537912,36.43
m,1854,29,0.008057,69130,557,68852,2468512,35.71
m,1854,30,0.008382,68573,575,68286,2399660,34.99
m,1854,31,0.00867,67998,590,67704,2331375,34.29
m,1854,32,0.008939,67409,603,67108,2263671,33.58
m,1854,33,0.009172,66806,613,66500,2196563,32.88
m,1854,34,0.00938,66194,621,65883,2130063,32.18
m,1854,35,0.009603,65573,630,65258,2064180,31.48
