sex,cohort,x,qx,lx,dx,Lx,Tx,ex
m,1965,22,0.00169,95525,161,95444,5399376,56.52
m,1965,23,0.001744,95364,166,95280,5303932,55.62
m,1965,24,0.001718,95197,164,95115,5208652,54.71
m,1965,25,0.001768,95034,168,94950,5113536,53.81
m,1965,26,0.001743,94866,165,94783,5018587,52.9
m,1965,27,0.001714,94700,162,94619,4923804,51.99
m,1965,28,0.001794,94538,170,94453,4829184,51.08
m,1965,29,0.001892,94368,179,94279,4734731,50.17
m,1965,30,0.001984,94190,187,94096,4640452,49.27
m,1965,31,0.001816,94003,171,93918,4546356,48.36
m,1965,32,0.00166,93832,156,93754,4452438,47.45
m,1965,33,0.001623,93677,152,93601,4358684,46.53
m,1965,34,0.001684,93524,158,93446,4265083,45.6
m,1965,35,0.00176,93367,164,93285,4171638,44.68
m,1965,36,0.001981,93203,185,93110,4078353,43.76
m,1965,37,0.002057,93018,191,92922,3985242,42.84
m,1965,38,0.00218,92827,202,92725,3892320,41.93
m,1965,39,0.00226,92624,209,92520,3799595,41.02
m,1965,40,0.002461,92415,227,92301,3707075,40.11
m,1965,41,0.002633,92187,243,92066,3614774,39.21
m,1965,42,0.002766,91945,254,91818,3522708,38.31
m,1965,43,0.002892,91690,265,91558,3430890,37.42
m,1965,44,0.003117,91425,285,91283,3339332,36.53
m,1965,45,0.003297,91140,301,90990,3248050,35.64
m,1965,46,0.003571,90840,324,90678,3157060,34.75
m,1965,47,0.00379,90515,343,90344,3066382,33.88
m,1965,48,0.004176,90172,377,89984,2976038,33
m,1965,49,0.004546,89796,408,89592,2886054,32.14
m,1965,50,0.005019,89388,449,89163,2796462,31.28
m,1965,51,0.005503,88939,489,88694,2707299,30.44
m,1965,52,0.005971,88449,528,88185,2618605,29.61
m,1965,53,0.006471,87921,569,87637,2530420,28.78
m,1965,54,0.007061,87352,617,87044,2442783,27.96
m,1965,55,0.007689,86736,667,86402,2355739,27.16
m,1965,56,0.008342,86069,718,85710,2269337,26.37
m,1965,57,0.009009,85351,769,84966,2183627,25.58
m,1965,58,0.009684,84582,819,84172,2098661,24.81
m,1965,59,0.010363,83763,868,83329,2014488,24.05
m,1965,60,0.011092,82895,919,82435,1931160,23.3
m,1965,61,0.011833,81975,970,81490,1848725,22.55
m,1965,62,0.012503,81005,1013,80499,1767235,21.82
m,1965,63,0.013086,79992,1047,79469,1686736,21.09
m,1965,64,0.013643,78946,1077,78407,1607267,20.36
m,1965,65,0.014282,77869,1112,77312,1528860,19.63
m,1965,66,0.015052,76756,1155,76179,1451547,18.91
m,1965,67,0.015918,75601,1203,74999,1375369,18.19
m,1965,68,0.016884,74398,1256,73770,1300369,17.48
m,1965,69,0.017968,73141,1314,72484,1226600,16.77
m,1965,70,0.019229,71827,1381,71137,1154116,16.07
m,1965,71,0.020676,70446,1457,69718,1082979,15.37
m,1965,72,0.022275,68990,1537,68221,1013261,14.69
m,1965,73,0.024031,67453,1621,66642,945040,14.01
m,1965,74,0.025995,65832,1711,64976,878398,13.34
m,1965,75,0.028407,64121,1821,63210,813421,12.69
m,1965,76,0.031191,62299,1943,61328,750211,12.04
m,1965,77,0.034041,60356,2055,59329,688884,11.41
m,1965,78,0.036859,58301,2149,57227,629555,10.8
