## "Deaths-Age-Sex_Covid-19_USA_21_07.xlsx"--> "CDC_Data" --> "Cumul. Death count up to 13/06/2020"
Age	m_pop		f_pop		m_covid f_covid     
0	1968505		1879703		5       4      
1–4 	8163697		7798370		3       3      
5–14 	20974830	20100339	11      3      
15–24	21976455	20994345	98      49     
25–34	23210709	22487065	551     251    
35–44	20587600	20690288	1451    589    
45–54	20541202	21090497	4003    1715   
55–64	20398863	21873773	9238    4734   
65–74	14246085	16246231	15004   9155   
75–84	6735040		8659334		16758   13951  
85+	2325693		4218810		14933   23379  
